,qu
73.40%,85.79861111
73.50%,85.81018519
73.60%,85.83333333
73.70%,85.86111111
73.80%,85.87962963
73.90%,85.90277778
74.00%,85.92592593
74.10%,85.94907407
74.20%,85.97222222
74.30%,85.99537037
74.40%,86.01851852
74.50%,86.04166667
74.60%,86.05555556
74.70%,86.08333333
74.80%,86.11111111
74.90%,86.13425926
75.00%,86.14583333
75.10%,86.16666667
75.20%,86.19444444
75.30%,86.22222222
75.40%,86.25
75.50%,86.25
75.60%,86.27777778
75.70%,86.30555556
75.80%,86.31944444
75.90%,86.34259259
76.00%,86.36574074
76.10%,86.38888889
76.20%,86.41203704
76.30%,86.43518519
76.40%,86.45833333
76.50%,86.48148148
76.60%,86.50376852
76.70%,86.52777778
76.80%,86.55092593
76.90%,86.57407407
77.00%,86.59722222
77.10%,86.62037037
77.20%,86.64351852
77.30%,86.66666667
77.40%,86.69444444
77.50%,86.71296296
77.60%,86.73611111
77.70%,86.75925926
77.80%,86.78240741
77.90%,86.80555556
78.00%,86.8287037
78.10%,86.85185185
78.20%,86.875
78.30%,86.89814815
78.40%,86.91666667
78.50%,86.94444444
78.60%,86.96759259
78.70%,86.97916667
78.80%,87.01388889
78.90%,87.02777778
79.00%,87.04861111
79.10%,87.06018519
79.20%,87.10648148
79.30%,87.12962963
79.40%,87.15277778
79.50%,87.17592593
79.60%,87.19907407
79.70%,87.22222222
79.80%,87.24537037
79.90%,87.26851852
80.00%,87.29166667
80.10%,87.31481481
80.20%,87.33333333
80.30%,87.36111111
80.40%,87.36111111
80.50%,87.39583333
80.60%,87.41666667
80.70%,87.44444444
80.80%,87.47222222
80.90%,87.5
81.00%,87.52314815
81.10%,87.5462963
81.20%,87.55555556
81.30%,87.58333333
81.40%,87.61111111
81.50%,87.63888889
81.60%,87.66203704
81.70%,87.67361111
81.80%,87.69444444
81.90%,87.72222222
82.00%,87.74847222
82.10%,87.77777778
82.20%,87.77777778
82.30%,87.82407407
82.40%,87.84722222
82.50%,87.86111111
82.60%,87.88888889
82.70%,87.91666667
82.80%,87.93981481
82.90%,87.96296296
83.00%,87.98611111
83.10%,88.00925926
83.20%,88.03240741
83.30%,88.05555556
83.40%,88.0787037
83.50%,88.10185185
83.60%,88.125
83.70%,88.14814815
83.80%,88.1712963
83.90%,88.21759259
84.00%,88.24074074
84.10%,88.26388889
84.20%,88.28703704
84.30%,88.31018519
84.40%,88.33333333
84.50%,88.36805556
84.60%,88.38888889
84.70%,88.41666667
84.80%,88.44444444
84.90%,88.47222222
85.00%,88.49537037
85.10%,88.51851852
85.20%,88.54166667
85.30%,88.56481481
85.40%,88.61111111
85.50%,88.62951389
85.60%,88.65740741
85.70%,88.68055556
85.80%,88.7037037
85.90%,88.72685185
86.00%,88.75
86.10%,88.78472222
86.20%,88.80555556
86.30%,88.84259259
86.40%,88.86574074
86.50%,88.88888889
86.60%,88.92361111
86.70%,88.95833333
86.80%,88.97222222
86.90%,89
87.00%,89.02777778
87.10%,89.05555556
87.20%,89.08333333
87.30%,89.12037037
87.40%,89.13888889
87.50%,89.16666667
87.60%,89.19444444
87.70%,89.21296296
87.80%,89.23975
87.90%,89.27777778
88.00%,89.30555556
88.10%,89.3287037
88.20%,89.35185185
88.30%,89.38888889
88.40%,89.4212963
88.50%,89.44444444
88.60%,89.47222222
88.70%,89.5
88.80%,89.52777778
88.90%,89.55555556
89.00%,89.58333333
89.10%,89.61111111
89.20%,89.63983333
89.30%,89.67592593
89.40%,89.69907407
89.50%,89.72222222
89.60%,89.76851852
89.70%,89.79166667
89.80%,89.82638889
89.90%,89.86111111
90.00%,89.88425926
90.10%,89.91666667
90.20%,89.9537037
90.30%,89.97685185
90.40%,90
90.50%,90.02777778
90.60%,90.06944444
90.70%,90.09259259
90.80%,90.13888889
90.90%,90.17195139
91.00%,90.19444444
91.10%,90.23148148
91.20%,90.27777778
91.30%,90.30092593
91.40%,90.33333333
91.50%,90.37037037
91.60%,90.41666667
91.70%,90.43981481
91.80%,90.47808333
91.90%,90.50925926
92.00%,90.55555556
92.10%,90.5787037
92.20%,90.61111111
92.30%,90.64814815
92.40%,90.69444444
92.50%,90.72916667
92.60%,90.76388889
92.70%,90.81018519
92.80%,90.83333333
92.90%,90.87962963
93.00%,90.92592593
93.10%,90.94907407
93.20%,90.99537037
93.30%,91.02777778
93.40%,91.06481481
93.50%,91.11111111
93.60%,91.13888889
93.70%,91.18055556
93.80%,91.21527778
93.90%,91.25
94.00%,91.2962963
94.10%,91.34259259
94.20%,91.38888889
94.30%,91.42361111
94.40%,91.45833333
94.50%,91.51400463
94.60%,91.55555556
94.70%,91.61111111
94.80%,91.64351852
94.90%,91.69444444
95.00%,91.73611111
95.10%,91.78240741
95.20%,91.8287037
95.30%,91.875
95.40%,91.94444444
95.50%,91.97916667
95.60%,92.02777778
95.70%,92.08333333
95.80%,92.12962963
95.90%,92.17592593
96.00%,92.22222222
96.10%,92.29166667
96.20%,92.33333333
96.30%,92.39583333
96.40%,92.46527778
96.50%,92.52314815
96.60%,92.56944444
96.70%,92.63888889
96.80%,92.68518519
96.90%,92.75
97.00%,92.80555556
97.10%,92.87037037
97.20%,92.93981481
97.30%,93.00925926
97.40%,93.08333333
97.50%,93.14814815
97.60%,93.24074074
97.70%,93.30555556
97.80%,93.37962963
97.90%,93.44907407
98.00%,93.52777778
98.10%,93.61111111
98.20%,93.68997222
98.30%,93.77314815
98.40%,93.88888889
98.50%,93.98148148
98.60%,94.08333333
98.70%,94.18981481
98.80%,94.28240741
98.90%,94.41666667
99.00%,94.55555556
99.10%,94.67592593
99.20%,94.83311111
99.30%,95.02314815
99.40%,95.19444444
99.50%,95.37037037
99.60%,95.61111111
99.70%,95.90277778
99.80%,96.26717593
99.90%,96.83299769
